OfferID,Airline,Flight,From,Departure,To,Arrival,Duration,Price,DepartureDate,SearchDate
1,F9,1755,IAH,2025-11-15T11:37:00,LAX,2025-11-15T13:15:00,PT3H38M,115.38,2025-11-15,2025-11-12
2,F9,1404,IAH,2025-11-15T06:15:00,ATL,2025-11-15T09:29:00,PT8H13M,127.00,2025-11-15,2025-11-12
2,F9,4315,ATL,2025-11-15T10:35:00,LAX,2025-11-15T12:28:00,PT8H13M,127.00,2025-11-15,2025-11-12
3,F9,3229,IAH,2025-11-15T07:00:00,DEN,2025-11-15T08:37:00,PT8H18M,127.00,2025-11-15,2025-11-12
3,F9,4945,DEN,2025-11-15T11:45:00,LAX,2025-11-15T13:18:00,PT8H18M,127.00,2025-11-15,2025-11-12
4,F9,3227,IAH,2025-11-15T20:47:00,DEN,2025-11-15T22:28:00,PT14H46M,131.85,2025-11-15,2025-11-12
4,F9,2341,DEN,2025-11-16T08:00:00,LAX,2025-11-16T09:33:00,PT14H46M,131.85,2025-11-15,2025-11-12
5,F9,3229,IAH,2025-11-15T07:00:00,DEN,2025-11-15T08:37:00,PT19H25M,131.85,2025-11-15,2025-11-12
5,F9,4345,DEN,2025-11-15T22:55:00,LAX,2025-11-16T00:25:00,PT19H25M,131.85,2025-11-15,2025-11-12
1,NK,1260,IAH,2025-11-16T07:30:00,LAX,2025-11-16T09:08:00,PT3H38M,184.18,2025-11-16,2025-11-12
2,NK,2132,IAH,2025-11-16T20:10:00,LAX,2025-11-16T21:53:00,PT3H43M,184.18,2025-11-16,2025-11-12
3,F9,1755,IAH,2025-11-16T11:37:00,LAX,2025-11-16T13:15:00,PT3H38M,184.18,2025-11-16,2025-11-12
4,NK,1312,IAH,2025-11-16T14:06:00,LAS,2025-11-16T15:22:00,PT9H2M,192.05,2025-11-16,2025-11-12
4,NK,2804,LAS,2025-11-16T19:51:00,LAX,2025-11-16T21:08:00,PT9H2M,192.05,2025-11-16,2025-11-12
5,NK,3210,IAH,2025-11-16T20:51:00,LAS,2025-11-16T22:10:00,PT13H26M,192.05,2025-11-16,2025-11-12
5,NK,1919,LAS,2025-11-17T07:00:00,LAX,2025-11-17T08:17:00,PT13H26M,192.05,2025-11-16,2025-11-12
1,F9,3229,IAH,2025-11-17T06:00:00,DEN,2025-11-17T07:36:00,PT7H10M,127.00,2025-11-17,2025-11-12
1,F9,1261,DEN,2025-11-17T09:48:00,ONT,2025-11-17T11:10:00,PT7H10M,127.00,2025-11-17,2025-11-12
2,F9,1404,IAH,2025-11-17T06:15:00,ATL,2025-11-17T09:29:00,PT8H13M,127.00,2025-11-17,2025-11-12
2,F9,4315,ATL,2025-11-17T10:35:00,LAX,2025-11-17T12:28:00,PT8H13M,127.00,2025-11-17,2025-11-12
3,F9,3229,IAH,2025-11-17T06:00:00,DEN,2025-11-17T07:36:00,PT16H27M,131.85,2025-11-17,2025-11-12
3,F9,3155,DEN,2025-11-17T18:55:00,LAX,2025-11-17T20:27:00,PT16H27M,131.85,2025-11-17,2025-11-12
4,F9,3227,IAH,2025-11-17T20:47:00,DEN,2025-11-17T22:28:00,PT18H31M,131.85,2025-11-17,2025-11-12
4,F9,2341,DEN,2025-11-18T11:45:00,LAX,2025-11-18T13:18:00,PT18H31M,131.85,2025-11-17,2025-11-12
5,F9,3229,IAH,2025-11-17T06:00:00,DEN,2025-11-17T07:36:00,PT20H25M,131.85,2025-11-17,2025-11-12
5,F9,4345,DEN,2025-11-17T22:55:00,LAX,2025-11-18T00:25:00,PT20H25M,131.85,2025-11-17,2025-11-12
1,F9,3229,IAH,2025-11-18T07:00:00,DEN,2025-11-18T08:37:00,PT8H18M,127.00,2025-11-18,2025-11-12
1,F9,2341,DEN,2025-11-18T11:45:00,LAX,2025-11-18T13:18:00,PT8H18M,127.00,2025-11-18,2025-11-12
2,F9,2995,IAH,2025-11-18T16:37:00,DEN,2025-11-18T18:16:00,PT9H13M,131.85,2025-11-18,2025-11-12
2,F9,1499,DEN,2025-11-18T22:29:00,ONT,2025-11-18T23:50:00,PT9H13M,131.85,2025-11-18,2025-11-12
3,F9,3229,IAH,2025-11-18T07:00:00,DEN,2025-11-18T08:37:00,PT18H50M,131.85,2025-11-18,2025-11-12
3,F9,1499,DEN,2025-11-18T22:29:00,ONT,2025-11-18T23:50:00,PT18H50M,131.85,2025-11-18,2025-11-12
4,F9,2995,IAH,2025-11-18T16:37:00,DEN,2025-11-18T18:16:00,PT9H48M,131.85,2025-11-18,2025-11-12
4,F9,4345,DEN,2025-11-18T22:55:00,LAX,2025-11-19T00:25:00,PT9H48M,131.85,2025-11-18,2025-11-12
5,F9,3229,IAH,2025-11-18T07:00:00,DEN,2025-11-18T08:37:00,PT19H25M,131.85,2025-11-18,2025-11-12
5,F9,4345,DEN,2025-11-18T22:55:00,LAX,2025-11-19T00:25:00,PT19H25M,131.85,2025-11-18,2025-11-12
1,NK,1260,IAH,2025-11-19T07:30:00,LAX,2025-11-19T09:08:00,PT3H38M,96.03,2025-11-19,2025-11-12
2,NK,2132,IAH,2025-11-19T20:10:00,LAX,2025-11-19T21:53:00,PT3H43M,96.03,2025-11-19,2025-11-12
3,F9,3229,IAH,2025-11-19T07:00:00,DEN,2025-11-19T08:37:00,PT8H18M,101.20,2025-11-19,2025-11-12
3,F9,2341,DEN,2025-11-19T11:45:00,LAX,2025-11-19T13:18:00,PT8H18M,101.20,2025-11-19,2025-11-12
4,F9,2995,IAH,2025-11-19T16:37:00,DEN,2025-11-19T18:16:00,PT9H13M,106.05,2025-11-19,2025-11-12
4,F9,1499,DEN,2025-11-19T22:29:00,ONT,2025-11-19T23:50:00,PT9H13M,106.05,2025-11-19,2025-11-12
5,F9,3229,IAH,2025-11-19T07:00:00,DEN,2025-11-19T08:37:00,PT18H50M,106.05,2025-11-19,2025-11-12
5,F9,1499,DEN,2025-11-19T22:29:00,ONT,2025-11-19T23:50:00,PT18H50M,106.05,2025-11-19,2025-11-12
1,F9,3229,IAH,2025-11-20T06:45:00,DEN,2025-11-20T08:27:00,PT6H43M,101.20,2025-11-20,2025-11-12
1,F9,1261,DEN,2025-11-20T10:00:00,ONT,2025-11-20T11:28:00,PT6H43M,101.20,2025-11-20,2025-11-12
2,F9,1489,IAH,2025-11-20T14:42:00,LAS,2025-11-20T16:16:00,PT8H24M,101.20,2025-11-20,2025-11-12
2,F9,2231,LAS,2025-11-20T20:00:00,ONT,2025-11-20T21:06:00,PT8H24M,101.20,2025-11-20,2025-11-12
3,F9,3229,IAH,2025-11-20T06:45:00,DEN,2025-11-20T08:27:00,PT6H53M,101.20,2025-11-20,2025-11-12
3,F9,2341,DEN,2025-11-20T09:57:00,LAX,2025-11-20T11:38:00,PT6H53M,101.20,2025-11-20,2025-11-12
4,F9,1489,IAH,2025-11-20T14:42:00,LAS,2025-11-20T16:16:00,PT7H5M,101.20,2025-11-20,2025-11-12
4,F9,1183,LAS,2025-11-20T18:30:00,LAX,2025-11-20T19:47:00,PT7H5M,101.20,2025-11-20,2025-11-12
5,F9,1404,IAH,2025-11-20T06:00:00,ATL,2025-11-20T09:18:00,PT8H25M,101.20,2025-11-20,2025-11-12
5,F9,4315,ATL,2025-11-20T10:13:00,LAX,2025-11-20T12:25:00,PT8H25M,101.20,2025-11-20,2025-11-12
1,NK,1260,IAH,2025-11-21T07:30:00,LAX,2025-11-21T09:08:00,PT3H38M,117.53,2025-11-21,2025-11-12
2,NK,2132,IAH,2025-11-21T20:10:00,LAX,2025-11-21T21:53:00,PT3H43M,117.53,2025-11-21,2025-11-12
3,NK,1312,IAH,2025-11-21T14:06:00,LAS,2025-11-21T15:22:00,PT9H2M,139.38,2025-11-21,2025-11-12
3,NK,2804,LAS,2025-11-21T19:51:00,LAX,2025-11-21T21:08:00,PT9H2M,139.38,2025-11-21,2025-11-12
