OfferID,Airline,Flight,From,Departure,To,Arrival,Duration,Price,DepartureDate,SearchDate
1,UA,1743,IAH,2025-11-15T16:30:00,LAX,2025-11-15T18:10:00,PT3H40M,77.56,2025-11-15,2025-10-05
2,UA,2460,IAH,2025-11-15T12:00:00,LAX,2025-11-15T13:45:00,PT3H45M,77.56,2025-11-15,2025-10-05
3,UA,1945,IAH,2025-11-15T14:30:00,LAX,2025-11-15T16:15:00,PT3H45M,77.56,2025-11-15,2025-10-05
4,UA,2095,IAH,2025-11-15T19:50:00,LAX,2025-11-15T21:36:00,PT3H46M,77.56,2025-11-15,2025-10-05
5,UA,434,IAH,2025-11-15T21:35:00,LAX,2025-11-15T23:21:00,PT3H46M,77.56,2025-11-15,2025-10-05
1,UA,1851,IAH,2025-11-16T22:00:00,LAX,2025-11-16T23:24:00,PT3H24M,77.56,2025-11-16,2025-10-05
2,UA,2431,IAH,2025-11-16T05:42:00,LAX,2025-11-16T07:30:00,PT3H48M,77.56,2025-11-16,2025-10-05
3,UA,2600,IAH,2025-11-16T07:35:00,LAX,2025-11-16T09:27:00,PT3H52M,158.19,2025-11-16,2025-10-05
4,F9,3131,IAH,2025-11-16T17:23:00,ONT,2025-11-16T18:49:00,PT3H26M,159.26,2025-11-16,2025-10-05
5,F9,1755,IAH,2025-11-16T11:37:00,LAX,2025-11-16T13:15:00,PT3H38M,161.41,2025-11-16,2025-10-05
1,UA,2460,IAH,2025-11-17T12:00:00,LAX,2025-11-17T13:45:00,PT3H45M,116.26,2025-11-17,2025-10-05
2,UA,1945,IAH,2025-11-17T14:30:00,LAX,2025-11-17T16:15:00,PT3H45M,116.26,2025-11-17,2025-10-05
3,UA,469,IAH,2025-11-17T09:40:00,LAX,2025-11-17T11:25:00,PT3H45M,158.19,2025-11-17,2025-10-05
4,UA,2095,IAH,2025-11-17T19:50:00,LAX,2025-11-17T21:36:00,PT3H46M,158.19,2025-11-17,2025-10-05
5,F9,3131,IAH,2025-11-17T17:23:00,ONT,2025-11-17T18:49:00,PT3H26M,159.26,2025-11-17,2025-10-05
1,UA,1743,IAH,2025-11-18T16:30:00,LAX,2025-11-18T18:10:00,PT3H40M,77.56,2025-11-18,2025-10-05
2,UA,469,IAH,2025-11-18T09:40:00,LAX,2025-11-18T11:25:00,PT3H45M,77.56,2025-11-18,2025-10-05
3,UA,2460,IAH,2025-11-18T12:00:00,LAX,2025-11-18T13:45:00,PT3H45M,77.56,2025-11-18,2025-10-05
4,UA,1945,IAH,2025-11-18T14:30:00,LAX,2025-11-18T16:15:00,PT3H45M,77.56,2025-11-18,2025-10-05
5,UA,2095,IAH,2025-11-18T19:50:00,LAX,2025-11-18T21:36:00,PT3H46M,77.56,2025-11-18,2025-10-05
1,UA,1743,IAH,2025-11-19T16:30:00,LAX,2025-11-19T18:10:00,PT3H40M,77.56,2025-11-19,2025-10-05
2,UA,2460,IAH,2025-11-19T12:00:00,LAX,2025-11-19T13:45:00,PT3H45M,77.56,2025-11-19,2025-10-05
3,UA,1945,IAH,2025-11-19T14:30:00,LAX,2025-11-19T16:15:00,PT3H45M,77.56,2025-11-19,2025-10-05
4,UA,434,IAH,2025-11-19T21:35:00,LAX,2025-11-19T23:21:00,PT3H46M,77.56,2025-11-19,2025-10-05
5,AS,1421,IAH,2025-11-19T17:54:00,PDX,2025-11-19T20:49:00,PT8H5M,92.29,2025-11-19,2025-10-05
5,AS,1291,PDX,2025-11-19T21:30:00,LAX,2025-11-19T23:59:00,PT8H5M,92.29,2025-11-19,2025-10-05
1,AS,453,IAH,2025-11-20T07:35:00,SEA,2025-11-20T10:15:00,PT9H37M,147.12,2025-11-20,2025-10-05
1,AS,1118,SEA,2025-11-20T12:40:00,ONT,2025-11-20T15:12:00,PT9H37M,147.12,2025-11-20,2025-10-05
2,F9,1755,IAH,2025-11-20T10:56:00,LAX,2025-11-20T12:42:00,PT3H46M,160.34,2025-11-20,2025-10-05
3,AS,453,IAH,2025-11-20T07:35:00,SEA,2025-11-20T10:15:00,PT12H42M,186.30,2025-11-20,2025-10-05
3,AS,1086,SEA,2025-11-20T15:45:00,ONT,2025-11-20T18:17:00,PT12H42M,186.30,2025-11-20,2025-10-05
4,F9,3229,IAH,2025-11-20T06:45:00,DEN,2025-11-20T08:27:00,PT6H43M,190.12,2025-11-20,2025-10-05
4,F9,1261,DEN,2025-11-20T10:00:00,ONT,2025-11-20T11:28:00,PT6H43M,190.12,2025-11-20,2025-10-05
5,F9,1489,IAH,2025-11-20T14:42:00,LAS,2025-11-20T16:16:00,PT8H24M,190.12,2025-11-20,2025-10-05
5,F9,2231,LAS,2025-11-20T20:00:00,ONT,2025-11-20T21:06:00,PT8H24M,190.12,2025-11-20,2025-10-05
1,F9,1755,IAH,2025-11-21T10:56:00,LAX,2025-11-21T12:42:00,PT3H46M,157.11,2025-11-21,2025-10-05
2,AS,453,IAH,2025-11-21T07:35:00,SEA,2025-11-21T10:15:00,PT9H37M,182.59,2025-11-21,2025-10-05
2,AS,1118,SEA,2025-11-21T12:40:00,ONT,2025-11-21T15:12:00,PT9H37M,182.59,2025-11-21,2025-10-05
3,F9,3131,IAH,2025-11-21T14:40:00,ONT,2025-11-21T16:19:00,PT3H39M,182.91,2025-11-21,2025-10-05
4,F9,3229,IAH,2025-11-21T06:45:00,DEN,2025-11-21T08:27:00,PT6H43M,190.12,2025-11-21,2025-10-05
4,F9,1261,DEN,2025-11-21T10:00:00,ONT,2025-11-21T11:28:00,PT6H43M,190.12,2025-11-21,2025-10-05
5,F9,3227,IAH,2025-11-21T14:32:00,DEN,2025-11-21T16:17:00,PT12H32M,194.90,2025-11-21,2025-10-05
5,F9,1499,DEN,2025-11-21T23:35:00,ONT,2025-11-22T01:04:00,PT12H32M,194.90,2025-11-21,2025-10-05
1,F9,1755,IAH,2025-11-22T10:56:00,LAX,2025-11-22T12:42:00,PT3H46M,157.11,2025-11-22,2025-10-05
2,F9,3229,IAH,2025-11-22T06:45:00,DEN,2025-11-22T08:27:00,PT6H40M,190.12,2025-11-22,2025-10-05
2,F9,1261,DEN,2025-11-22T09:57:00,ONT,2025-11-22T11:25:00,PT6H40M,190.12,2025-11-22,2025-10-05
3,F9,1489,IAH,2025-11-22T14:42:00,LAS,2025-11-22T16:16:00,PT8H24M,190.12,2025-11-22,2025-10-05
3,F9,2231,LAS,2025-11-22T20:00:00,ONT,2025-11-22T21:06:00,PT8H24M,190.12,2025-11-22,2025-10-05
4,F9,2995,IAH,2025-11-22T11:32:00,DEN,2025-11-22T13:10:00,PT15H32M,194.90,2025-11-22,2025-10-05
4,F9,1499,DEN,2025-11-22T23:35:00,ONT,2025-11-23T01:04:00,PT15H32M,194.90,2025-11-22,2025-10-05
5,F9,3229,IAH,2025-11-22T06:45:00,DEN,2025-11-22T08:27:00,PT20H19M,194.90,2025-11-22,2025-10-05
5,F9,1499,DEN,2025-11-22T23:35:00,ONT,2025-11-23T01:04:00,PT20H19M,194.90,2025-11-22,2025-10-05
1,F9,1755,IAH,2025-11-23T10:56:00,LAX,2025-11-23T12:42:00,PT3H46M,157.11,2025-11-23,2025-10-05
2,F9,3131,IAH,2025-11-23T14:40:00,ONT,2025-11-23T16:19:00,PT3H39M,182.91,2025-11-23,2025-10-05
3,AS,1421,IAH,2025-11-23T17:54:00,PDX,2025-11-23T20:49:00,PT8H5M,185.82,2025-11-23,2025-10-05
3,AS,1291,PDX,2025-11-23T21:30:00,LAX,2025-11-23T23:59:00,PT8H5M,185.82,2025-11-23,2025-10-05
4,F9,3229,IAH,2025-11-23T06:45:00,DEN,2025-11-23T08:27:00,PT6H43M,190.12,2025-11-23,2025-10-05
4,F9,1261,DEN,2025-11-23T10:00:00,ONT,2025-11-23T11:28:00,PT6H43M,190.12,2025-11-23,2025-10-05
5,F9,2995,IAH,2025-11-23T11:32:00,DEN,2025-11-23T13:10:00,PT15H32M,194.90,2025-11-23,2025-10-05
5,F9,1499,DEN,2025-11-23T23:35:00,ONT,2025-11-24T01:04:00,PT15H32M,194.90,2025-11-23,2025-10-05
1,UA,1851,IAH,2025-11-24T22:14:00,LAX,2025-11-24T23:59:00,PT3H45M,107.66,2025-11-24,2025-10-05
2,UA,434,IAH,2025-11-24T21:35:00,LAX,2025-11-24T23:21:00,PT3H46M,107.66,2025-11-24,2025-10-05
3,UA,1743,IAH,2025-11-24T16:30:00,LAX,2025-11-24T18:10:00,PT3H40M,135.61,2025-11-24,2025-10-05
4,UA,2460,IAH,2025-11-24T12:00:00,LAX,2025-11-24T13:45:00,PT3H45M,135.61,2025-11-24,2025-10-05
5,UA,1945,IAH,2025-11-24T14:30:00,LAX,2025-11-24T16:15:00,PT3H45M,135.61,2025-11-24,2025-10-05
1,AS,453,IAH,2025-11-25T07:35:00,SEA,2025-11-25T10:15:00,PT9H37M,136.37,2025-11-25,2025-10-05
1,AS,1118,SEA,2025-11-25T12:40:00,ONT,2025-11-25T15:12:00,PT9H37M,136.37,2025-11-25,2025-10-05
2,F9,1755,IAH,2025-11-25T10:56:00,LAX,2025-11-25T12:42:00,PT3H46M,157.11,2025-11-25,2025-10-05
3,F9,3131,IAH,2025-11-25T14:40:00,ONT,2025-11-25T16:19:00,PT3H39M,182.91,2025-11-25,2025-10-05
