OfferID,Airline,Flight,From,Departure,To,Arrival,Duration,Price,DepartureDate,SearchDate
1,UA,1743,IAH,2025-11-15T16:30:00,LAX,2025-11-15T18:10:00,PT3H40M,78.78,2025-11-15,2025-10-11
2,UA,2460,IAH,2025-11-15T12:00:00,LAX,2025-11-15T13:45:00,PT3H45M,78.78,2025-11-15,2025-10-11
3,UA,1945,IAH,2025-11-15T14:30:00,LAX,2025-11-15T16:15:00,PT3H45M,78.78,2025-11-15,2025-10-11
4,UA,434,IAH,2025-11-15T21:35:00,LAX,2025-11-15T23:21:00,PT3H46M,78.78,2025-11-15,2025-10-11
5,UA,2431,IAH,2025-11-15T05:42:00,LAX,2025-11-15T07:30:00,PT3H48M,78.78,2025-11-15,2025-10-11
1,UA,1851,IAH,2025-11-16T22:00:00,LAX,2025-11-16T23:24:00,PT3H24M,78.78,2025-11-16,2025-10-11
2,UA,2431,IAH,2025-11-16T05:42:00,LAX,2025-11-16T07:30:00,PT3H48M,78.78,2025-11-16,2025-10-11
3,AS,1421,IAH,2025-11-16T17:54:00,PDX,2025-11-16T20:49:00,PT8H5M,93.60,2025-11-16,2025-10-11
3,AS,1291,PDX,2025-11-16T21:30:00,LAX,2025-11-16T23:59:00,PT8H5M,93.60,2025-11-16,2025-10-11
4,AS,453,IAH,2025-11-16T07:35:00,SEA,2025-11-16T10:15:00,PT9H5M,93.60,2025-11-16,2025-10-11
4,AS,1144,SEA,2025-11-16T11:55:00,LAX,2025-11-16T14:40:00,PT9H5M,93.60,2025-11-16,2025-10-11
5,AS,453,IAH,2025-11-16T07:35:00,SEA,2025-11-16T10:15:00,PT9H57M,93.60,2025-11-16,2025-10-11
5,AS,1220,SEA,2025-11-16T12:50:00,LAX,2025-11-16T15:32:00,PT9H57M,93.60,2025-11-16,2025-10-11
1,UA,1945,IAH,2025-11-17T14:30:00,LAX,2025-11-17T16:15:00,PT3H45M,78.78,2025-11-17,2025-10-11
2,AS,1421,IAH,2025-11-17T17:54:00,PDX,2025-11-17T20:49:00,PT8H5M,93.60,2025-11-17,2025-10-11
2,AS,1291,PDX,2025-11-17T21:30:00,LAX,2025-11-17T23:59:00,PT8H5M,93.60,2025-11-17,2025-10-11
3,AS,453,IAH,2025-11-17T07:35:00,SEA,2025-11-17T10:15:00,PT9H5M,93.60,2025-11-17,2025-10-11
3,AS,1144,SEA,2025-11-17T11:55:00,LAX,2025-11-17T14:40:00,PT9H5M,93.60,2025-11-17,2025-10-11
4,AS,453,IAH,2025-11-17T07:35:00,SEA,2025-11-17T10:15:00,PT9H57M,93.60,2025-11-17,2025-10-11
4,AS,1220,SEA,2025-11-17T12:50:00,LAX,2025-11-17T15:32:00,PT9H57M,93.60,2025-11-17,2025-10-11
5,AS,453,IAH,2025-11-17T07:35:00,SEA,2025-11-17T10:15:00,PT9H37M,100.05,2025-11-17,2025-10-11
5,AS,1118,SEA,2025-11-17T12:40:00,ONT,2025-11-17T15:12:00,PT9H37M,100.05,2025-11-17,2025-10-11
1,UA,1743,IAH,2025-11-18T16:30:00,LAX,2025-11-18T18:10:00,PT3H40M,78.78,2025-11-18,2025-10-11
2,UA,469,IAH,2025-11-18T09:40:00,LAX,2025-11-18T11:25:00,PT3H45M,78.78,2025-11-18,2025-10-11
3,UA,2460,IAH,2025-11-18T12:00:00,LAX,2025-11-18T13:45:00,PT3H45M,78.78,2025-11-18,2025-10-11
4,UA,1945,IAH,2025-11-18T14:30:00,LAX,2025-11-18T16:15:00,PT3H45M,78.78,2025-11-18,2025-10-11
5,UA,2095,IAH,2025-11-18T19:50:00,LAX,2025-11-18T21:36:00,PT3H46M,78.78,2025-11-18,2025-10-11
1,UA,1743,IAH,2025-11-19T16:30:00,LAX,2025-11-19T18:10:00,PT3H40M,78.78,2025-11-19,2025-10-11
2,UA,469,IAH,2025-11-19T09:40:00,LAX,2025-11-19T11:25:00,PT3H45M,78.78,2025-11-19,2025-10-11
3,UA,1945,IAH,2025-11-19T14:30:00,LAX,2025-11-19T16:15:00,PT3H45M,78.78,2025-11-19,2025-10-11
4,UA,434,IAH,2025-11-19T21:35:00,LAX,2025-11-19T23:21:00,PT3H46M,78.78,2025-11-19,2025-10-11
5,UA,2431,IAH,2025-11-19T05:42:00,LAX,2025-11-19T07:30:00,PT3H48M,78.78,2025-11-19,2025-10-11
1,AS,453,IAH,2025-11-20T07:35:00,SEA,2025-11-20T10:15:00,PT9H37M,148.42,2025-11-20,2025-10-11
1,AS,1118,SEA,2025-11-20T12:40:00,ONT,2025-11-20T15:12:00,PT9H37M,148.42,2025-11-20,2025-10-11
2,F9,1755,IAH,2025-11-20T10:56:00,LAX,2025-11-20T12:42:00,PT3H46M,165.85,2025-11-20,2025-10-11
3,AS,453,IAH,2025-11-20T07:35:00,SEA,2025-11-20T10:15:00,PT12H42M,187.65,2025-11-20,2025-10-11
3,AS,1086,SEA,2025-11-20T15:45:00,ONT,2025-11-20T18:17:00,PT12H42M,187.65,2025-11-20,2025-10-11
4,F9,3229,IAH,2025-11-20T06:45:00,DEN,2025-11-20T08:27:00,PT6H43M,191.42,2025-11-20,2025-10-11
4,F9,1261,DEN,2025-11-20T10:00:00,ONT,2025-11-20T11:28:00,PT6H43M,191.42,2025-11-20,2025-10-11
5,F9,1489,IAH,2025-11-20T14:42:00,LAS,2025-11-20T16:16:00,PT8H24M,191.42,2025-11-20,2025-10-11
5,F9,2231,LAS,2025-11-20T20:00:00,ONT,2025-11-20T21:06:00,PT8H24M,191.42,2025-11-20,2025-10-11
