OfferID,Airline,Flight,From,Departure,To,Arrival,Duration,Price,DepartureDate,SearchDate
1,UA,1743,IAH,2025-11-15T16:30:00,LAX,2025-11-15T18:10:00,PT3H40M,107.64,2025-11-15,2025-10-03
2,UA,2460,IAH,2025-11-15T12:00:00,LAX,2025-11-15T13:45:00,PT3H45M,107.64,2025-11-15,2025-10-03
3,UA,1945,IAH,2025-11-15T14:30:00,LAX,2025-11-15T16:15:00,PT3H45M,107.64,2025-11-15,2025-10-03
4,UA,434,IAH,2025-11-15T21:35:00,LAX,2025-11-15T23:21:00,PT3H46M,107.64,2025-11-15,2025-10-03
5,UA,2431,IAH,2025-11-15T05:42:00,LAX,2025-11-15T07:30:00,PT3H48M,107.64,2025-11-15,2025-10-03
1,UA,1851,IAH,2025-11-16T22:00:00,LAX,2025-11-16T23:24:00,PT3H24M,107.64,2025-11-16,2025-10-03
2,UA,2431,IAH,2025-11-16T05:42:00,LAX,2025-11-16T07:30:00,PT3H48M,107.64,2025-11-16,2025-10-03
3,F9,1703,IAH,2025-11-16T12:01:00,PHX,2025-11-16T13:57:00,PT5H44M,136.34,2025-11-16,2025-10-03
3,F9,3303,PHX,2025-11-16T15:16:00,LAX,2025-11-16T15:45:00,PT5H44M,136.34,2025-11-16,2025-10-03
4,F9,1703,IAH,2025-11-16T12:01:00,PHX,2025-11-16T13:57:00,PT7H43M,136.34,2025-11-16,2025-10-03
4,F9,3605,PHX,2025-11-16T17:16:00,LAX,2025-11-16T17:44:00,PT7H43M,136.34,2025-11-16,2025-10-03
5,F9,1404,IAH,2025-11-16T06:06:00,ATL,2025-11-16T09:20:00,PT8H22M,136.34,2025-11-16,2025-10-03
5,F9,4315,ATL,2025-11-16T10:35:00,LAX,2025-11-16T12:28:00,PT8H22M,136.34,2025-11-16,2025-10-03
1,UA,2460,IAH,2025-11-17T12:00:00,LAX,2025-11-17T13:45:00,PT3H45M,116.24,2025-11-17,2025-10-03
2,UA,1945,IAH,2025-11-17T14:30:00,LAX,2025-11-17T16:15:00,PT3H45M,116.24,2025-11-17,2025-10-03
3,F9,1404,IAH,2025-11-17T06:15:00,ATL,2025-11-17T09:29:00,PT8H13M,136.34,2025-11-17,2025-10-03
3,F9,4315,ATL,2025-11-17T10:35:00,LAX,2025-11-17T12:28:00,PT8H13M,136.34,2025-11-17,2025-10-03
4,F9,3229,IAH,2025-11-17T06:00:00,DEN,2025-11-17T07:36:00,PT16H27M,141.11,2025-11-17,2025-10-03
4,F9,3155,DEN,2025-11-17T18:55:00,LAX,2025-11-17T20:27:00,PT16H27M,141.11,2025-11-17,2025-10-03
5,F9,3227,IAH,2025-11-17T20:47:00,DEN,2025-11-17T22:28:00,PT18H31M,141.11,2025-11-17,2025-10-03
5,F9,2341,DEN,2025-11-18T11:45:00,LAX,2025-11-18T13:18:00,PT18H31M,141.11,2025-11-17,2025-10-03
1,UA,1743,IAH,2025-11-18T16:30:00,LAX,2025-11-18T18:10:00,PT3H40M,107.64,2025-11-18,2025-10-03
2,UA,469,IAH,2025-11-18T09:40:00,LAX,2025-11-18T11:25:00,PT3H45M,107.64,2025-11-18,2025-10-03
3,UA,2460,IAH,2025-11-18T12:00:00,LAX,2025-11-18T13:45:00,PT3H45M,107.64,2025-11-18,2025-10-03
4,UA,1945,IAH,2025-11-18T14:30:00,LAX,2025-11-18T16:15:00,PT3H45M,107.64,2025-11-18,2025-10-03
5,UA,2095,IAH,2025-11-18T19:50:00,LAX,2025-11-18T21:36:00,PT3H46M,107.64,2025-11-18,2025-10-03
1,UA,1743,IAH,2025-11-19T16:30:00,LAX,2025-11-19T18:10:00,PT3H40M,107.64,2025-11-19,2025-10-03
2,UA,469,IAH,2025-11-19T09:40:00,LAX,2025-11-19T11:25:00,PT3H45M,107.64,2025-11-19,2025-10-03
3,UA,2460,IAH,2025-11-19T12:00:00,LAX,2025-11-19T13:45:00,PT3H45M,107.64,2025-11-19,2025-10-03
4,UA,1945,IAH,2025-11-19T14:30:00,LAX,2025-11-19T16:15:00,PT3H45M,107.64,2025-11-19,2025-10-03
5,UA,434,IAH,2025-11-19T21:35:00,LAX,2025-11-19T23:21:00,PT3H46M,107.64,2025-11-19,2025-10-03
1,AS,453,IAH,2025-11-20T07:35:00,SEA,2025-11-20T10:15:00,PT9H37M,147.09,2025-11-20,2025-10-03
1,AS,1118,SEA,2025-11-20T12:40:00,ONT,2025-11-20T15:12:00,PT9H37M,147.09,2025-11-20,2025-10-03
2,F9,1755,IAH,2025-11-20T10:56:00,LAX,2025-11-20T12:42:00,PT3H46M,161.39,2025-11-20,2025-10-03
3,F9,3229,IAH,2025-11-20T06:45:00,DEN,2025-11-20T08:27:00,PT6H43M,189.01,2025-11-20,2025-10-03
3,F9,1261,DEN,2025-11-20T10:00:00,ONT,2025-11-20T11:28:00,PT6H43M,189.01,2025-11-20,2025-10-03
4,F9,1489,IAH,2025-11-20T14:42:00,LAS,2025-11-20T16:16:00,PT8H24M,189.01,2025-11-20,2025-10-03
4,F9,2231,LAS,2025-11-20T20:00:00,ONT,2025-11-20T21:06:00,PT8H24M,189.01,2025-11-20,2025-10-03
5,F9,2995,IAH,2025-11-20T11:32:00,DEN,2025-11-20T13:10:00,PT15H32M,193.78,2025-11-20,2025-10-03
5,F9,1499,DEN,2025-11-20T23:35:00,ONT,2025-11-21T01:04:00,PT15H32M,193.78,2025-11-20,2025-10-03
1,F9,1755,IAH,2025-11-21T10:56:00,LAX,2025-11-21T12:42:00,PT3H46M,157.09,2025-11-21,2025-10-03
2,AS,453,IAH,2025-11-21T07:35:00,SEA,2025-11-21T10:15:00,PT9H37M,182.56,2025-11-21,2025-10-03
2,AS,1118,SEA,2025-11-21T12:40:00,ONT,2025-11-21T15:12:00,PT9H37M,182.56,2025-11-21,2025-10-03
3,F9,3131,IAH,2025-11-21T14:40:00,ONT,2025-11-21T16:19:00,PT3H39M,182.89,2025-11-21,2025-10-03
4,F9,3229,IAH,2025-11-21T06:45:00,DEN,2025-11-21T08:27:00,PT6H43M,189.01,2025-11-21,2025-10-03
4,F9,1261,DEN,2025-11-21T10:00:00,ONT,2025-11-21T11:28:00,PT6H43M,189.01,2025-11-21,2025-10-03
5,F9,3227,IAH,2025-11-21T14:32:00,DEN,2025-11-21T16:17:00,PT12H32M,193.78,2025-11-21,2025-10-03
5,F9,1499,DEN,2025-11-21T23:35:00,ONT,2025-11-22T01:04:00,PT12H32M,193.78,2025-11-21,2025-10-03
1,F9,1755,IAH,2025-11-22T10:56:00,LAX,2025-11-22T12:42:00,PT3H46M,157.09,2025-11-22,2025-10-03
2,F9,3229,IAH,2025-11-22T06:45:00,DEN,2025-11-22T08:27:00,PT6H40M,189.01,2025-11-22,2025-10-03
2,F9,1261,DEN,2025-11-22T09:57:00,ONT,2025-11-22T11:25:00,PT6H40M,189.01,2025-11-22,2025-10-03
3,F9,1489,IAH,2025-11-22T14:42:00,LAS,2025-11-22T16:16:00,PT8H24M,189.01,2025-11-22,2025-10-03
3,F9,2231,LAS,2025-11-22T20:00:00,ONT,2025-11-22T21:06:00,PT8H24M,189.01,2025-11-22,2025-10-03
4,F9,2995,IAH,2025-11-22T11:32:00,DEN,2025-11-22T13:10:00,PT15H32M,193.78,2025-11-22,2025-10-03
4,F9,1499,DEN,2025-11-22T23:35:00,ONT,2025-11-23T01:04:00,PT15H32M,193.78,2025-11-22,2025-10-03
5,F9,3229,IAH,2025-11-22T06:45:00,DEN,2025-11-22T08:27:00,PT20H19M,193.78,2025-11-22,2025-10-03
5,F9,1499,DEN,2025-11-22T23:35:00,ONT,2025-11-23T01:04:00,PT20H19M,193.78,2025-11-22,2025-10-03
1,F9,1755,IAH,2025-11-23T10:56:00,LAX,2025-11-23T12:42:00,PT3H46M,157.09,2025-11-23,2025-10-03
2,F9,3131,IAH,2025-11-23T14:40:00,ONT,2025-11-23T16:19:00,PT3H39M,182.89,2025-11-23,2025-10-03
3,AS,1421,IAH,2025-11-23T17:54:00,PDX,2025-11-23T20:49:00,PT8H5M,185.79,2025-11-23,2025-10-03
3,AS,1291,PDX,2025-11-23T21:30:00,LAX,2025-11-23T23:59:00,PT8H5M,185.79,2025-11-23,2025-10-03
4,F9,3229,IAH,2025-11-23T06:45:00,DEN,2025-11-23T08:27:00,PT6H43M,189.01,2025-11-23,2025-10-03
4,F9,1261,DEN,2025-11-23T10:00:00,ONT,2025-11-23T11:28:00,PT6H43M,189.01,2025-11-23,2025-10-03
5,F9,2995,IAH,2025-11-23T11:32:00,DEN,2025-11-23T13:10:00,PT15H32M,193.78,2025-11-23,2025-10-03
5,F9,1499,DEN,2025-11-23T23:35:00,ONT,2025-11-24T01:04:00,PT15H32M,193.78,2025-11-23,2025-10-03
1,UA,1851,IAH,2025-11-24T22:14:00,LAX,2025-11-24T23:59:00,PT3H45M,107.64,2025-11-24,2025-10-03
2,UA,434,IAH,2025-11-24T21:35:00,LAX,2025-11-24T23:21:00,PT3H46M,107.64,2025-11-24,2025-10-03
3,UA,2095,IAH,2025-11-24T19:50:00,LAX,2025-11-24T21:36:00,PT3H46M,107.64,2025-11-24,2025-10-03
4,UA,1743,IAH,2025-11-24T16:30:00,LAX,2025-11-24T18:10:00,PT3H40M,135.59,2025-11-24,2025-10-03
5,UA,2460,IAH,2025-11-24T12:00:00,LAX,2025-11-24T13:45:00,PT3H45M,135.59,2025-11-24,2025-10-03
1,AS,453,IAH,2025-11-25T07:35:00,SEA,2025-11-25T10:15:00,PT9H37M,136.34,2025-11-25,2025-10-03
1,AS,1118,SEA,2025-11-25T12:40:00,ONT,2025-11-25T15:12:00,PT9H37M,136.34,2025-11-25,2025-10-03
2,F9,1755,IAH,2025-11-25T10:56:00,LAX,2025-11-25T12:42:00,PT3H46M,157.09,2025-11-25,2025-10-03
3,F9,3131,IAH,2025-11-25T14:40:00,ONT,2025-11-25T16:19:00,PT3H39M,182.89,2025-11-25,2025-10-03
4,F9,3229,IAH,2025-11-25T06:45:00,DEN,2025-11-25T08:27:00,PT8H6M,189.01,2025-11-25,2025-10-03
4,F9,1261,DEN,2025-11-25T11:23:00,ONT,2025-11-25T12:51:00,PT8H6M,189.01,2025-11-25,2025-10-03
5,F9,2995,IAH,2025-11-25T11:32:00,DEN,2025-11-25T13:10:00,PT15H32M,193.78,2025-11-25,2025-10-03
5,F9,1499,DEN,2025-11-25T23:35:00,ONT,2025-11-26T01:04:00,PT15H32M,193.78,2025-11-25,2025-10-03
1,AS,453,IAH,2025-11-26T07:35:00,SEA,2025-11-26T10:15:00,PT9H37M,136.34,2025-11-26,2025-10-03
1,AS,1118,SEA,2025-11-26T12:40:00,ONT,2025-11-26T15:12:00,PT9H37M,136.34,2025-11-26,2025-10-03
2,F9,1755,IAH,2025-11-26T10:56:00,LAX,2025-11-26T12:42:00,PT3H46M,157.09,2025-11-26,2025-10-03
3,F9,3131,IAH,2025-11-26T14:40:00,ONT,2025-11-26T16:19:00,PT3H39M,182.89,2025-11-26,2025-10-03
4,F9,3229,IAH,2025-11-26T06:45:00,DEN,2025-11-26T08:27:00,PT6H43M,189.01,2025-11-26,2025-10-03
4,F9,1261,DEN,2025-11-26T10:00:00,ONT,2025-11-26T11:28:00,PT6H43M,189.01,2025-11-26,2025-10-03
5,F9,2995,IAH,2025-11-26T11:32:00,DEN,2025-11-26T13:10:00,PT15H32M,193.78,2025-11-26,2025-10-03
5,F9,1499,DEN,2025-11-26T23:35:00,ONT,2025-11-27T01:04:00,PT15H32M,193.78,2025-11-26,2025-10-03
1,UA,469,IAH,2025-11-27T09:40:00,LAX,2025-11-27T11:25:00,PT3H45M,135.59,2025-11-27,2025-10-03
2,UA,2460,IAH,2025-11-27T12:00:00,LAX,2025-11-27T13:45:00,PT3H45M,135.59,2025-11-27,2025-10-03
3,UA,1945,IAH,2025-11-27T14:30:00,LAX,2025-11-27T16:15:00,PT3H45M,135.59,2025-11-27,2025-10-03
4,UA,2600,IAH,2025-11-27T07:35:00,LAX,2025-11-27T09:27:00,PT3H52M,135.59,2025-11-27,2025-10-03
5,UA,2431,IAH,2025-11-27T05:42:00,LAX,2025-11-27T07:30:00,PT3H48M,135.59,2025-11-27,2025-10-03
1,UA,469,IAH,2025-11-28T09:40:00,LAX,2025-11-28T11:25:00,PT3H45M,140.97,2025-11-28,2025-10-03
2,UA,1945,IAH,2025-11-28T14:30:00,LAX,2025-11-28T16:15:00,PT3H45M,140.97,2025-11-28,2025-10-03
3,UA,1851,IAH,2025-11-28T22:14:00,LAX,2025-11-28T23:59:00,PT3H45M,140.97,2025-11-28,2025-10-03
4,UA,2095,IAH,2025-11-28T19:50:00,LAX,2025-11-28T21:36:00,PT3H46M,140.97,2025-11-28,2025-10-03
5,UA,2600,IAH,2025-11-28T07:35:00,LAX,2025-11-28T09:27:00,PT3H52M,140.97,2025-11-28,2025-10-03
1,AS,453,IAH,2025-11-29T07:35:00,SEA,2025-11-29T10:15:00,PT9H37M,136.34,2025-11-29,2025-10-03
1,AS,1118,SEA,2025-11-29T12:40:00,ONT,2025-11-29T15:12:00,PT9H37M,136.34,2025-11-29,2025-10-03
2,F9,1755,IAH,2025-11-29T10:56:00,LAX,2025-11-29T12:42:00,PT3H46M,168.92,2025-11-29,2025-10-03
3,AS,453,IAH,2025-11-29T07:35:00,SEA,2025-11-29T10:15:00,PT12H42M,202.38,2025-11-29,2025-10-03
3,AS,1086,SEA,2025-11-29T15:45:00,ONT,2025-11-29T18:17:00,PT12H42M,202.38,2025-11-29,2025-10-03
4,AS,1421,IAH,2025-11-29T17:54:00,PDX,2025-11-29T20:49:00,PT16H31M,202.38,2025-11-29,2025-10-03
4,AS,1165,PDX,2025-11-30T06:00:00,LAX,2025-11-30T08:25:00,PT16H31M,202.38,2025-11-29,2025-10-03
5,AS,439,IAH,2025-11-29T18:55:00,SEA,2025-11-29T21:35:00,PT15H49M,210.98,2025-11-29,2025-10-03
5,AS,1316,SEA,2025-11-30T06:00:00,LAX,2025-11-30T08:44:00,PT15H49M,210.98,2025-11-29,2025-10-03
1,F9,1755,IAH,2025-11-30T10:56:00,LAX,2025-11-30T12:42:00,PT3H46M,168.92,2025-11-30,2025-10-03
2,F9,3131,IAH,2025-11-30T14:40:00,ONT,2025-11-30T16:19:00,PT3H39M,196.87,2025-11-30,2025-10-03
3,AS,1421,IAH,2025-11-30T17:54:00,PDX,2025-11-30T20:49:00,PT16H31M,210.98,2025-11-30,2025-10-03
3,AS,1165,PDX,2025-12-01T06:00:00,LAX,2025-12-01T08:25:00,PT16H31M,210.98,2025-11-30,2025-10-03
4,AS,453,IAH,2025-11-30T07:35:00,SEA,2025-11-30T10:15:00,PT12H42M,227.11,2025-11-30,2025-10-03
4,AS,1086,SEA,2025-11-30T15:45:00,ONT,2025-11-30T18:17:00,PT12H42M,227.11,2025-11-30,2025-10-03
5,AS,439,IAH,2025-11-30T18:55:00,SEA,2025-11-30T21:35:00,PT17H44M,227.11,2025-11-30,2025-10-03
5,AS,1254,SEA,2025-12-01T08:05:00,ONT,2025-12-01T10:39:00,PT17H44M,227.11,2025-11-30,2025-10-03
1,AS,453,IAH,2025-12-01T07:35:00,SEA,2025-12-01T10:15:00,PT9H37M,147.09,2025-12-01,2025-10-03
1,AS,1118,SEA,2025-12-01T12:40:00,ONT,2025-12-01T15:12:00,PT9H37M,147.09,2025-12-01,2025-10-03
2,F9,1755,IAH,2025-12-01T10:56:00,LAX,2025-12-01T12:42:00,PT3H46M,157.09,2025-12-01,2025-10-03
3,F9,3131,IAH,2025-12-01T14:40:00,ONT,2025-12-01T16:19:00,PT3H39M,182.89,2025-12-01,2025-10-03
4,F9,3229,IAH,2025-12-01T06:45:00,DEN,2025-12-01T08:27:00,PT6H43M,189.01,2025-12-01,2025-10-03
4,F9,1261,DEN,2025-12-01T10:00:00,ONT,2025-12-01T11:28:00,PT6H43M,189.01,2025-12-01,2025-10-03
5,F9,3227,IAH,2025-12-01T14:32:00,DEN,2025-12-01T16:17:00,PT12H32M,193.78,2025-12-01,2025-10-03
5,F9,1499,DEN,2025-12-01T23:35:00,ONT,2025-12-02T01:04:00,PT12H32M,193.78,2025-12-01,2025-10-03
1,AS,1421,IAH,2025-12-02T17:54:00,PDX,2025-12-02T20:49:00,PT8H5M,119.14,2025-12-02,2025-10-03
1,AS,1291,PDX,2025-12-02T21:30:00,LAX,2025-12-02T23:59:00,PT8H5M,119.14,2025-12-02,2025-10-03
2,UA,1743,IAH,2025-12-02T16:30:00,LAX,2025-12-02T18:10:00,PT3H40M,119.47,2025-12-02,2025-10-03
3,UA,2600,IAH,2025-12-02T07:35:00,LAX,2025-12-02T09:27:00,PT3H52M,119.47,2025-12-02,2025-10-03
4,AS,453,IAH,2025-12-02T07:35:00,SEA,2025-12-02T10:15:00,PT9H37M,136.34,2025-12-02,2025-10-03
4,AS,1118,SEA,2025-12-02T12:40:00,ONT,2025-12-02T15:12:00,PT9H37M,136.34,2025-12-02,2025-10-03
5,F9,1755,IAH,2025-12-02T09:49:00,LAX,2025-12-02T11:43:00,PT3H54M,157.09,2025-12-02,2025-10-03
1,UA,2431,IAH,2025-12-03T05:42:00,LAX,2025-12-03T07:30:00,PT3H48M,107.64,2025-12-03,2025-10-03
2,UA,2460,IAH,2025-12-03T12:00:00,LAX,2025-12-03T13:45:00,PT3H45M,116.24,2025-12-03,2025-10-03
3,F9,1755,IAH,2025-12-03T09:49:00,LAX,2025-12-03T11:43:00,PT3H54M,159.24,2025-12-03,2025-10-03
4,UA,1743,IAH,2025-12-03T16:30:00,LAX,2025-12-03T18:10:00,PT3H40M,161.39,2025-12-03,2025-10-03
5,UA,1945,IAH,2025-12-03T14:30:00,LAX,2025-12-03T16:15:00,PT3H45M,161.39,2025-12-03,2025-10-03
