OfferID,Airline,Flight,From,Departure,To,Arrival,Duration,Price,DepartureDate,SearchDate
1,UA,1743,IAH,2025-11-15T16:30:00,LAX,2025-11-15T18:10:00,PT3H40M,87.36,2025-11-15,2025-10-23
2,UA,2460,IAH,2025-11-15T12:00:00,LAX,2025-11-15T13:45:00,PT3H45M,87.36,2025-11-15,2025-10-23
3,UA,1945,IAH,2025-11-15T14:30:00,LAX,2025-11-15T16:15:00,PT3H45M,87.36,2025-11-15,2025-10-23
4,UA,434,IAH,2025-11-15T21:35:00,LAX,2025-11-15T23:21:00,PT3H46M,87.36,2025-11-15,2025-10-23
5,UA,2431,IAH,2025-11-15T05:42:00,LAX,2025-11-15T07:30:00,PT3H48M,87.36,2025-11-15,2025-10-23
1,UA,2431,IAH,2025-11-16T05:42:00,LAX,2025-11-16T07:30:00,PT3H48M,87.36,2025-11-16,2025-10-23
2,AS,1421,IAH,2025-11-16T17:54:00,PDX,2025-11-16T20:49:00,PT16H31M,212.34,2025-11-16,2025-10-23
2,AS,1165,PDX,2025-11-17T06:00:00,LAX,2025-11-17T08:25:00,PT16H31M,212.34,2025-11-16,2025-10-23
3,F9,3131,IAH,2025-11-16T17:23:00,ONT,2025-11-16T18:49:00,PT3H26M,220.66,2025-11-16,2025-10-23
4,AS,6376,IAH,2025-11-16T16:40:00,LAX,2025-11-16T18:46:00,PT4H6M,223.88,2025-11-16,2025-10-23
5,F9,1755,IAH,2025-11-16T11:37:00,LAX,2025-11-16T13:15:00,PT3H38M,224.96,2025-11-16,2025-10-23
1,AS,453,IAH,2025-11-17T07:35:00,SEA,2025-11-17T10:15:00,PT9H37M,108.62,2025-11-17,2025-10-23
1,AS,1118,SEA,2025-11-17T12:40:00,ONT,2025-11-17T15:12:00,PT9H37M,108.62,2025-11-17,2025-10-23
2,AS,1421,IAH,2025-11-17T17:54:00,PDX,2025-11-17T20:49:00,PT16H31M,203.74,2025-11-17,2025-10-23
2,AS,1165,PDX,2025-11-18T06:00:00,LAX,2025-11-18T08:25:00,PT16H31M,203.74,2025-11-17,2025-10-23
3,AS,453,IAH,2025-11-17T07:35:00,SEA,2025-11-17T10:15:00,PT12H42M,204.81,2025-11-17,2025-10-23
3,AS,1086,SEA,2025-11-17T15:45:00,ONT,2025-11-17T18:17:00,PT12H42M,204.81,2025-11-17,2025-10-23
4,AS,439,IAH,2025-11-17T18:55:00,SEA,2025-11-17T21:35:00,PT17H44M,204.81,2025-11-17,2025-10-23
4,AS,1254,SEA,2025-11-18T08:05:00,ONT,2025-11-18T10:39:00,PT17H44M,204.81,2025-11-17,2025-10-23
5,AS,439,IAH,2025-11-17T18:55:00,SEA,2025-11-17T21:35:00,PT22H17M,204.81,2025-11-17,2025-10-23
5,AS,1118,SEA,2025-11-18T12:40:00,ONT,2025-11-18T15:12:00,PT22H17M,204.81,2025-11-17,2025-10-23
1,UA,1743,IAH,2025-11-18T16:30:00,LAX,2025-11-18T18:10:00,PT3H40M,87.36,2025-11-18,2025-10-23
2,UA,1945,IAH,2025-11-18T14:30:00,LAX,2025-11-18T16:15:00,PT3H45M,87.36,2025-11-18,2025-10-23
3,UA,2431,IAH,2025-11-18T05:42:00,LAX,2025-11-18T07:30:00,PT3H48M,87.36,2025-11-18,2025-10-23
4,AS,453,IAH,2025-11-18T07:35:00,SEA,2025-11-18T10:15:00,PT9H37M,108.62,2025-11-18,2025-10-23
4,AS,1118,SEA,2025-11-18T12:40:00,ONT,2025-11-18T15:12:00,PT9H37M,108.62,2025-11-18,2025-10-23
5,AS,453,IAH,2025-11-18T07:35:00,SEA,2025-11-18T10:15:00,PT12H42M,179.01,2025-11-18,2025-10-23
5,AS,1086,SEA,2025-11-18T15:45:00,ONT,2025-11-18T18:17:00,PT12H42M,179.01,2025-11-18,2025-10-23
1,AS,453,IAH,2025-11-19T07:35:00,SEA,2025-11-19T10:15:00,PT9H37M,108.62,2025-11-19,2025-10-23
1,AS,1118,SEA,2025-11-19T12:40:00,ONT,2025-11-19T15:12:00,PT9H37M,108.62,2025-11-19,2025-10-23
2,UA,434,IAH,2025-11-19T21:35:00,LAX,2025-11-19T23:21:00,PT3H46M,117.46,2025-11-19,2025-10-23
3,UA,1743,IAH,2025-11-19T16:30:00,LAX,2025-11-19T18:10:00,PT3H40M,160.46,2025-11-19,2025-10-23
4,UA,1945,IAH,2025-11-19T14:30:00,LAX,2025-11-19T16:15:00,PT3H45M,160.46,2025-11-19,2025-10-23
5,UA,2095,IAH,2025-11-19T19:50:00,LAX,2025-11-19T21:36:00,PT3H46M,160.46,2025-11-19,2025-10-23
