OfferID,Airline,Flight,From,Departure,To,Arrival,Duration,Price,DepartureDate,SearchDate
1,F9,1755,IAH,2025-11-15T11:37:00,LAX,2025-11-15T13:15:00,PT3H38M,86.39,2025-11-15,2025-11-10
2,F9,3229,IAH,2025-11-15T07:00:00,DEN,2025-11-15T08:37:00,PT6H10M,127.07,2025-11-15,2025-11-10
2,F9,1261,DEN,2025-11-15T09:48:00,ONT,2025-11-15T11:10:00,PT6H10M,127.07,2025-11-15,2025-11-10
3,F9,1404,IAH,2025-11-15T06:15:00,ATL,2025-11-15T09:29:00,PT8H13M,127.07,2025-11-15,2025-11-10
3,F9,4315,ATL,2025-11-15T10:35:00,LAX,2025-11-15T12:28:00,PT8H13M,127.07,2025-11-15,2025-11-10
4,F9,3229,IAH,2025-11-15T07:00:00,DEN,2025-11-15T08:37:00,PT8H18M,127.07,2025-11-15,2025-11-10
4,F9,4945,DEN,2025-11-15T11:45:00,LAX,2025-11-15T13:18:00,PT8H18M,127.07,2025-11-15,2025-11-10
5,F9,3227,IAH,2025-11-15T20:47:00,DEN,2025-11-15T22:28:00,PT14H46M,131.93,2025-11-15,2025-11-10
5,F9,2341,DEN,2025-11-16T08:00:00,LAX,2025-11-16T09:33:00,PT14H46M,131.93,2025-11-15,2025-11-10
1,F9,1755,IAH,2025-11-16T11:37:00,LAX,2025-11-16T13:15:00,PT3H38M,97.14,2025-11-16,2025-11-10
2,F9,3131,IAH,2025-11-16T17:23:00,ONT,2025-11-16T18:49:00,PT3H26M,116.49,2025-11-16,2025-11-10
3,NK,3210,IAH,2025-11-16T20:51:00,LAS,2025-11-16T22:10:00,PT13H26M,166.33,2025-11-16,2025-11-10
3,NK,1919,LAS,2025-11-17T07:00:00,LAX,2025-11-17T08:17:00,PT13H26M,166.33,2025-11-16,2025-11-10
4,NK,3210,IAH,2025-11-16T20:51:00,LAS,2025-11-16T22:10:00,PT17H2M,166.33,2025-11-16,2025-11-10
4,NK,147,LAS,2025-11-17T10:34:00,LAX,2025-11-17T11:53:00,PT17H2M,166.33,2025-11-16,2025-11-10
5,NK,1312,IAH,2025-11-16T14:06:00,LAS,2025-11-16T15:22:00,PT20H11M,166.33,2025-11-16,2025-11-10
5,NK,1919,LAS,2025-11-17T07:00:00,LAX,2025-11-17T08:17:00,PT20H11M,166.33,2025-11-16,2025-11-10
1,NK,1260,IAH,2025-11-17T07:30:00,LAX,2025-11-17T09:08:00,PT3H38M,97.14,2025-11-17,2025-11-10
2,NK,2132,IAH,2025-11-17T20:10:00,LAX,2025-11-17T21:53:00,PT3H43M,97.14,2025-11-17,2025-11-10
3,F9,1755,IAH,2025-11-17T11:37:00,LAX,2025-11-17T13:15:00,PT3H38M,97.14,2025-11-17,2025-11-10
4,F9,3229,IAH,2025-11-17T06:00:00,DEN,2025-11-17T07:36:00,PT7H10M,101.27,2025-11-17,2025-11-10
4,F9,1261,DEN,2025-11-17T09:48:00,ONT,2025-11-17T11:10:00,PT7H10M,101.27,2025-11-17,2025-11-10
5,F9,1404,IAH,2025-11-17T06:15:00,ATL,2025-11-17T09:29:00,PT8H13M,101.27,2025-11-17,2025-11-10
5,F9,4315,ATL,2025-11-17T10:35:00,LAX,2025-11-17T12:28:00,PT8H13M,101.27,2025-11-17,2025-11-10
1,NK,1260,IAH,2025-11-18T07:30:00,LAX,2025-11-18T09:08:00,PT3H38M,97.14,2025-11-18,2025-11-10
2,NK,2132,IAH,2025-11-18T20:10:00,LAX,2025-11-18T21:53:00,PT3H43M,97.14,2025-11-18,2025-11-10
3,F9,3229,IAH,2025-11-18T07:00:00,DEN,2025-11-18T08:37:00,PT8H18M,101.27,2025-11-18,2025-11-10
3,F9,2341,DEN,2025-11-18T11:45:00,LAX,2025-11-18T13:18:00,PT8H18M,101.27,2025-11-18,2025-11-10
4,F9,2995,IAH,2025-11-18T16:37:00,DEN,2025-11-18T18:16:00,PT9H13M,106.13,2025-11-18,2025-11-10
