,UniqueID,airline,origin,destination,departure_time,Arrival_time,price,flights,DepartureDate,SearchDate
40,1_2025-11-28_2025-10-04,UA,IAH,LAX,2025-11-28 16:30:00,2025-11-28 18:10:00,140.99,['1743'],2025-11-28,2025-10-04
41,1_2025-11-28_2025-10-05,UA,IAH,LAX,2025-11-28 16:30:00,2025-11-28 18:10:00,140.99,['1743'],2025-11-28,2025-10-05
42,1_2025-11-29_2025-10-03,AS,IAH,ONT,2025-11-29 07:35:00,2025-11-29 15:12:00,136.34,"['453', '1118']",2025-11-29,2025-10-03
43,1_2025-11-29_2025-10-04,AS,IAH,ONT,2025-11-29 07:35:00,2025-11-29 15:12:00,136.37,"['453', '1118']",2025-11-29,2025-10-04
44,1_2025-11-29_2025-10-05,AS,IAH,ONT,2025-11-29 07:35:00,2025-11-29 15:12:00,136.37,"['453', '1118']",2025-11-29,2025-10-05
45,1_2025-11-30_2025-10-03,F9,IAH,LAX,2025-11-30 10:56:00,2025-11-30 12:42:00,168.92,['1755'],2025-11-30,2025-10-03
46,1_2025-11-30_2025-10-04,F9,IAH,LAX,2025-11-30 10:56:00,2025-11-30 12:42:00,168.94,['1755'],2025-11-30,2025-10-04
47,1_2025-11-30_2025-10-05,F9,IAH,LAX,2025-11-30 10:56:00,2025-11-30 12:42:00,168.94,['1755'],2025-11-30,2025-10-05
48,1_2025-12-01_2025-10-03,AS,IAH,ONT,2025-12-01 07:35:00,2025-12-01 15:12:00,147.09,"['453', '1118']",2025-12-01,2025-10-03
49,1_2025-12-01_2025-10-04,AS,IAH,ONT,2025-12-01 07:35:00,2025-12-01 15:12:00,147.12,"['453', '1118']",2025-12-01,2025-10-04
50,1_2025-12-01_2025-10-05,AS,IAH,ONT,2025-12-01 07:35:00,2025-12-01 15:12:00,147.12,"['453', '1118']",2025-12-01,2025-10-05
51,1_2025-12-02_2025-10-03,AS,IAH,LAX,2025-12-02 17:54:00,2025-12-02 23:59:00,119.14,"['1421', '1291']",2025-12-02,2025-10-03
52,1_2025-12-02_2025-10-04,AS,IAH,LAX,2025-12-02 17:54:00,2025-12-02 23:59:00,119.17,"['1421', '1291']",2025-12-02,2025-10-04
53,1_2025-12-02_2025-10-05,AS,IAH,LAX,2025-12-02 17:54:00,2025-12-02 23:59:00,119.17,"['1421', '1291']",2025-12-02,2025-10-05
54,1_2025-12-03_2025-10-03,UA,IAH,LAX,2025-12-03 05:42:00,2025-12-03 07:30:00,107.64,['2431'],2025-12-03,2025-10-03
55,1_2025-12-03_2025-10-04,UA,IAH,LAX,2025-12-03 05:42:00,2025-12-03 07:30:00,77.56,['2431'],2025-12-03,2025-10-04
56,1_2025-12-03_2025-10-05,UA,IAH,LAX,2025-12-03 05:42:00,2025-12-03 07:30:00,77.56,['2431'],2025-12-03,2025-10-05
57,1_2025-12-04_2025-10-03,UA,IAH,LAX,2025-12-04 14:30:00,2025-12-04 16:15:00,107.64,['1945'],2025-12-04,2025-10-03
58,1_2025-12-04_2025-10-04,AS,IAH,LAX,2025-12-04 17:54:00,2025-12-04 23:59:00,92.29,"['1421', '1291']",2025-12-04,2025-10-04
59,1_2025-12-04_2025-10-05,AS,IAH,LAX,2025-12-04 17:54:00,2025-12-04 23:59:00,92.29,"['1421', '1291']",2025-12-04,2025-10-05
60,1_2025-12-05_2025-10-03,UA,IAH,LAX,2025-12-05 16:30:00,2025-12-05 18:10:00,116.24,['1743'],2025-12-05,2025-10-03
61,1_2025-12-05_2025-10-04,UA,IAH,LAX,2025-12-05 16:30:00,2025-12-05 18:10:00,116.26,['1743'],2025-12-05,2025-10-04
62,1_2025-12-05_2025-10-05,UA,IAH,LAX,2025-12-05 16:30:00,2025-12-05 18:10:00,116.26,['1743'],2025-12-05,2025-10-05
